,clat,clng,dist
0,36.6363381,127.3156905,16.56770678
1,36.63633182,127.315706,16.46004446
2,36.63632556,127.3157214,16.36392791
3,36.63632153,127.3157323,16.40668068
4,36.63631601,127.3157462,16.37048634
5,36.63630849,127.3157643,16.25689937
6,36.63630439,127.3157752,16.30743782
7,36.63629963,127.3157876,16.33481169
8,36.63629415,127.3158014,16.34067609
9,36.63628779,127.315817,16.33704182
10,36.63628049,127.3158347,16.33649175
11,36.63627679,127.3158448,16.4073051
12,36.63627282,127.3158554,16.47140231
13,36.63626856,127.3158668,16.53485967
14,36.63626399,127.3158787,16.59401096
15,36.63625908,127.3158914,16.65677584
16,36.63625774,127.3158995,16.59401135
17,36.63625715,127.3159063,15.54368696
18,36.63625656,127.315913,14.49759721
19,36.63625596,127.3159197,13.45056113
20,36.63625477,127.3159286,12.35826777
21,36.63625269,127.3159391,12.35432694
22,36.63625061,127.3159495,12.35323777
23,36.63624853,127.3159599,12.35717913
24,36.63624644,127.3159703,12.35826813
25,36.63624436,127.3159807,12.35717931
26,36.63624227,127.3159911,12.35826831
27,36.63624019,127.3160015,12.3582684
28,36.6362381,127.3160119,12.35826848
29,36.63623162,127.3160159,13.0794588
30,36.63622515,127.3160199,13.79538023
31,36.63621868,127.3160239,14.51767003
32,36.6362122,127.3160279,15.24495177
33,36.63620446,127.3160395,15.70796344
34,36.6361994,127.3160477,16.09337102
35,36.63619256,127.3160581,16.54048856
36,36.63619048,127.3160685,16.54453907
37,36.6361884,127.3160789,16.54346138
38,36.63618632,127.3160893,16.54346151
39,36.63618298,127.3161044,16.44480785
40,36.63617963,127.3161195,16.35757482
41,36.63617751,127.3161302,16.35462042
42,36.63617457,127.3161437,16.30386365
43,36.63617056,127.3161614,16.2025769
44,36.63616839,127.3161722,16.19861509
45,36.63616587,127.3161842,16.18066007
46,36.63616295,127.3161978,16.14864208
47,36.63615957,127.3162131,16.11466914
48,36.6361579,127.3162219,16.12496796
49,36.63615611,127.3162312,16.1332132
50,36.63615417,127.3162411,16.13607917
51,36.63615299,127.3162482,16.16580804
52,36.6361518,127.3162552,16.20043395
53,36.6361515,127.3162608,15.18023977
54,36.63615121,127.3162664,14.15713551
55,36.6361509,127.316272,13.13768237
56,36.63615061,127.3162776,12.11872127
57,36.63614942,127.3162847,12.1580187
58,36.63614823,127.3162917,12.20103825
59,36.63614614,127.3163021,12.20216869
60,36.63614264,127.3163125,12.34254665
61,36.63613915,127.3163229,12.48219819
62,36.63613847,127.3163333,12.34254679
63,36.6361378,127.3163437,12.20679551
64,36.6361319,127.3163465,12.90101374
65,36.636126,127.3163492,13.61202714
66,36.63612011,127.316352,14.32932304
67,36.63611421,127.3163546,15.05835304
68,36.63610831,127.3163574,15.79175303
69,36.63610242,127.3163602,16.53602291
70,36.63609652,127.3163629,17.28506324
71,36.63609062,127.3163657,18.03550674
72,36.63608422,127.3163773,18.35322512
73,36.63608096,127.3163839,17.54505357
74,36.63607619,127.3163929,16.76049665
75,36.6360759,127.3163984,15.74347468
76,36.6360756,127.3164041,14.72171269
77,36.6360744,127.3164111,14.81851929
78,36.63607322,127.3164182,14.92029972
79,36.63607203,127.3164253,15.03179041
80,36.63607084,127.3164324,15.14042024
81,36.63606964,127.3164395,15.26045065
82,36.63606845,127.3164465,15.38406956
83,36.63606637,127.3164569,15.38406975
84,36.63606429,127.3164673,15.38406994
85,36.6360622,127.3164777,15.38921552
86,36.63606012,127.3164881,15.38921571
87,36.63605803,127.3164985,15.39015597
88,36.63605595,127.3165089,15.38921609
89,36.63605386,127.3165193,15.39015635
90,36.63604996,127.3165223,15.99131344
91,36.63604607,127.3165251,16.60431495
92,36.63604216,127.3165281,17.22590972
93,36.63603826,127.316531,17.85268306
94,36.63603437,127.3165339,18.47839325
95,36.63603047,127.3165368,19.11548409
96,36.63602656,127.3165397,19.7520228
97,36.63602267,127.3165426,20.39670297
98,36.63601793,127.3165554,20.42865
99,36.63601635,127.3165612,20.70309603
100,36.63601475,127.3165671,20.98192597
101,36.63601316,127.316573,21.25895215
102,36.63601157,127.3165789,21.54597535
103,36.63600997,127.3165848,21.84302726
104,36.63600838,127.3165906,22.137733
105,36.63600679,127.3165966,22.42977043
106,36.63600521,127.3166024,22.7307343
107,36.63600361,127.3166083,23.03644735
108,36.63600202,127.3166141,23.34462338
109,36.63600132,127.3166185,22.55911348
110,36.63600062,127.316623,21.78014296
111,36.63599992,127.3166273,21.02008666
112,36.63599923,127.3166317,20.27400337
113,36.63599763,127.3166376,20.61719096
114,36.63599604,127.3166435,20.94874483
115,36.63599445,127.3166494,21.28905592
116,36.63599285,127.3166552,21.63282667
117,36.63599126,127.3166611,21.97830093
118,36.63598968,127.3166669,22.32540896
119,36.63598808,127.3166729,22.67559306
120,36.63598649,127.3166788,23.02721885
121,36.6359849,127.3166846,23.38023018
122,36.63598331,127.3166905,23.73551698
123,36.63598171,127.3166963,24.09296993
124,36.63598012,127.3167023,24.44398168
